_ID,fecha,Nombre_Centro,Contador_Asistieron
4828,6/23/2016,West Penn Community Center,67
4829,6/22/2016,Phillips Community Center,179
4830,6/22/2016,Ormsby Community Center,70
4831,6/22/2016,Paulson Community Center,7
4832,6/22/2016,Brookline Community Center,98
4833,6/22/2016,Ammon Community Center,116
4834,6/22/2016,Arlington Community Center,16
4835,6/22/2016,Magee Community Center,84
4836,6/22/2016,Jefferson Community Center,90
4837,6/22/2016,West Penn Community Center,60
4838,6/22/2016,Warrington Community Center,18
4839,6/21/2016,Paulson Community Center,3
4840,6/21/2016,Ormsby Community Center,75
4841,6/21/2016,Phillips Community Center,240
4842,6/21/2016,Arlington Community Center,29
4843,6/21/2016,Ammon Community Center,189
4844,6/21/2016,Brookline Community Center,93
4845,6/21/2016,Jefferson Community Center,152
4846,6/21/2016,Magee Community Center,49
4847,6/21/2016,Warrington Community Center,16
4848,6/21/2016,West Penn Community Center,87
4849,6/20/2016,Phillips Community Center,311
4850,6/20/2016,Ormsby Community Center,37
4851,6/20/2016,Brookline Community Center,121
4852,6/20/2016,Ammon Community Center,295
4853,6/20/2016,Arlington Community Center,23
4854,6/20/2016,Magee Community Center,99
4855,6/20/2016,Jefferson Community Center,131
4856,6/20/2016,West Penn Community Center,103
4857,6/20/2016,Warrington Community Center,15
4858,6/19/2016,Jefferson Community Center,31
4859,6/18/2016,Ormsby Community Center,15
5049,5/24/2016,Ammon Community Center,73
4860,6/18/2016,Phillips Community Center,60
4861,6/18/2016,Brookline Community Center,16
4862,6/18/2016,Magee Community Center,26
4863,6/18/2016,West Penn Community Center,52
4864,6/17/2016,Phillips Community Center,92
4865,6/17/2016,Ormsby Community Center,48
4866,6/17/2016,Brookline Community Center,78
4867,6/17/2016,Arlington Community Center,25
4868,6/17/2016,Ammon Community Center,171
4869,6/17/2016,Magee Community Center,79
4870,6/17/2016,Jefferson Community Center,94
4871,6/17/2016,West Penn Community Center,80
4872,6/17/2016,Warrington Community Center,11
4873,6/16/2016,Ormsby Community Center,60
4874,6/16/2016,Paulson Community Center,6
4875,6/16/2016,Phillips Community Center,128
4876,6/16/2016,Ammon Community Center,111
4877,6/16/2016,Arlington Community Center,27
4878,6/16/2016,Brookline Community Center,75
4879,6/16/2016,Jefferson Community Center,118
4880,6/16/2016,Magee Community Center,39
4881,6/16/2016,Warrington Community Center,21
4882,6/16/2016,West Penn Community Center,79
4883,6/15/2016,Phillips Community Center,127
4884,6/15/2016,Paulson Community Center,165
4885,6/15/2016,Ormsby Community Center,120
4886,6/15/2016,Brookline Community Center,112
4887,6/15/2016,Arlington Community Center,18
4888,6/15/2016,Ammon Community Center,217
4889,6/15/2016,Magee Community Center,111
4890,6/15/2016,Jefferson Community Center,126
4891,6/15/2016,West Penn Community Center,87
4892,6/15/2016,Warrington Community Center,15
4893,6/14/2016,Ormsby Community Center,86
4894,6/14/2016,Paulson Community Center,162
4895,6/14/2016,Phillips Community Center,322
4896,6/14/2016,Ammon Community Center,210
4897,6/14/2016,Arlington Community Center,16
4898,6/14/2016,Brookline Community Center,147
4899,6/14/2016,Jefferson Community Center,149
4900,6/14/2016,Magee Community Center,119
4901,6/14/2016,Warrington Community Center,48
4902,6/14/2016,West Penn Community Center,95
4903,6/13/2016,Phillips Community Center,193
4904,6/13/2016,Paulson Community Center,180
4905,6/13/2016,Ormsby Community Center,25
4906,6/13/2016,Brookline Community Center,117
4907,6/13/2016,Arlington Community Center,19
4908,6/13/2016,Ammon Community Center,172
4909,6/13/2016,Magee Community Center,78
4910,6/13/2016,Jefferson Community Center,112
4911,6/13/2016,West Penn Community Center,90
4912,6/13/2016,Warrington Community Center,53
4913,6/11/2016,Ormsby Community Center,14
4914,6/11/2016,Phillips Community Center,15
4915,6/11/2016,Brookline Community Center,39
4916,6/11/2016,Magee Community Center,32
4917,6/11/2016,West Penn Community Center,37
4918,6/10/2016,Phillips Community Center,70
4919,6/10/2016,Ormsby Community Center,30
4920,6/10/2016,Paulson Community Center,48
4921,6/10/2016,Brookline Community Center,80
4922,6/10/2016,Ammon Community Center,42
4923,6/10/2016,Arlington Community Center,4
4924,6/10/2016,Magee Community Center,10
4925,6/10/2016,Jefferson Community Center,54
4926,6/10/2016,West Penn Community Center,73
4927,6/10/2016,Warrington Community Center,9
4928,6/9/2016,Paulson Community Center,56
4929,6/9/2016,Ormsby Community Center,33
4930,6/9/2016,Phillips Community Center,74
4931,6/9/2016,Arlington Community Center,14
4932,6/9/2016,Ammon Community Center,53
4933,6/9/2016,Brookline Community Center,71
4934,6/9/2016,Jefferson Community Center,107
4935,6/9/2016,Magee Community Center,22
4936,6/9/2016,Warrington Community Center,19
4937,6/9/2016,West Penn Community Center,65
4938,6/8/2016,Phillips Community Center,71
4939,6/8/2016,Ormsby Community Center,28
4940,6/8/2016,Paulson Community Center,40
4941,6/8/2016,Brookline Community Center,79
4942,6/8/2016,Ammon Community Center,83
4943,6/8/2016,Arlington Community Center,7
4944,6/8/2016,Magee Community Center,29
4945,6/8/2016,Jefferson Community Center,8
4946,6/8/2016,West Penn Community Center,75
4947,6/8/2016,Warrington Community Center,28
4948,6/7/2016,Paulson Community Center,36
4949,6/7/2016,Ormsby Community Center,48
4950,6/7/2016,Phillips Community Center,99
4951,6/7/2016,Arlington Community Center,16
4952,6/7/2016,Ammon Community Center,115
4953,6/7/2016,Brookline Community Center,97
5144,5/11/2016,Ormsby Community Center,54
4954,6/7/2016,Jefferson Community Center,49
4955,6/7/2016,Magee Community Center,39
4956,6/7/2016,Warrington Community Center,22
4957,6/7/2016,West Penn Community Center,91
4958,6/6/2016,Phillips Community Center,59
4959,6/6/2016,Ormsby Community Center,23
4960,6/6/2016,Paulson Community Center,36
4961,6/6/2016,Brookline Community Center,74
4962,6/6/2016,Ammon Community Center,57
4963,6/6/2016,Arlington Community Center,3
4964,6/6/2016,Magee Community Center,41
4965,6/6/2016,Jefferson Community Center,25
4966,6/6/2016,West Penn Community Center,55
4967,6/6/2016,Warrington Community Center,17
4968,6/4/2016,Ormsby Community Center,6
4969,6/4/2016,Phillips Community Center,26
4970,6/4/2016,Ammon Community Center,39
4971,6/4/2016,Brookline Community Center,47
4972,6/4/2016,Magee Community Center,18
4973,6/4/2016,West Penn Community Center,15
4974,6/3/2016,Phillips Community Center,66
4975,6/3/2016,Ormsby Community Center,25
4976,6/3/2016,Paulson Community Center,3
4977,6/3/2016,Brookline Community Center,81
4978,6/3/2016,Ammon Community Center,64
4979,6/3/2016,Arlington Community Center,5
4980,6/3/2016,Magee Community Center,16
4981,6/3/2016,Jefferson Community Center,39
4982,6/3/2016,West Penn Community Center,54
4983,6/3/2016,Warrington Community Center,10
4984,6/2/2016,Paulson Community Center,21
4985,6/2/2016,Ormsby Community Center,19
4986,6/2/2016,Phillips Community Center,90
4987,6/2/2016,Arlington Community Center,5
4988,6/2/2016,Ammon Community Center,39
4989,6/2/2016,Brookline Community Center,97
4990,6/2/2016,Jefferson Community Center,50
4991,6/2/2016,Magee Community Center,37
4992,6/2/2016,Warrington Community Center,24
4993,6/2/2016,West Penn Community Center,67
4994,6/1/2016,Phillips Community Center,84
4995,6/1/2016,Ormsby Community Center,43
4996,6/1/2016,Paulson Community Center,46
4997,6/1/2016,Brookline Community Center,93
4998,6/1/2016,Ammon Community Center,39
4999,6/1/2016,Arlington Community Center,4
5000,6/1/2016,Magee Community Center,8
5001,6/1/2016,Jefferson Community Center,25
5002,6/1/2016,West Penn Community Center,76
5003,6/1/2016,Warrington Community Center,24
5004,5/31/2016,Paulson Community Center,41
5005,5/31/2016,Ormsby Community Center,36
5006,5/31/2016,Phillips Community Center,135
5007,5/31/2016,Arlington Community Center,8
5008,5/31/2016,Ammon Community Center,87
5009,5/31/2016,Brookline Community Center,85
5010,5/31/2016,Jefferson Community Center,21
5011,5/31/2016,Magee Community Center,26
5012,5/31/2016,Warrington Community Center,28
5013,5/31/2016,West Penn Community Center,91
5014,5/28/2016,Phillips Community Center,21
5015,5/28/2016,Brookline Community Center,48
5016,5/28/2016,West Penn Community Center,18
5017,5/27/2016,Phillips Community Center,45
5018,5/27/2016,Ormsby Community Center,29
5019,5/27/2016,Paulson Community Center,20
5020,5/27/2016,Brookline Community Center,83
5021,5/27/2016,Ammon Community Center,112
5022,5/27/2016,Magee Community Center,25
5023,5/27/2016,Jefferson Community Center,43
5024,5/27/2016,West Penn Community Center,41
5025,5/27/2016,Warrington Community Center,17
5026,5/26/2016,Paulson Community Center,13
5027,5/26/2016,Ormsby Community Center,45
5028,5/26/2016,Phillips Community Center,87
5029,5/26/2016,Ammon Community Center,168
5030,5/26/2016,Arlington Community Center,10
5031,5/26/2016,Brookline Community Center,55
5032,5/26/2016,Jefferson Community Center,15
5033,5/26/2016,Magee Community Center,11
5034,5/26/2016,Warrington Community Center,27
5035,5/26/2016,West Penn Community Center,72
5036,5/25/2016,Phillips Community Center,58
5037,5/25/2016,Ormsby Community Center,47
5038,5/25/2016,Paulson Community Center,16
5039,5/25/2016,Brookline Community Center,91
5040,5/25/2016,Arlington Community Center,6
5041,5/25/2016,Ammon Community Center,185
5042,5/25/2016,Magee Community Center,20
5043,5/25/2016,Jefferson Community Center,18
5044,5/25/2016,West Penn Community Center,59
5045,5/25/2016,Warrington Community Center,24
5046,5/24/2016,Paulson Community Center,5
5047,5/24/2016,Ormsby Community Center,63
5048,5/24/2016,Phillips Community Center,69
5050,5/24/2016,Arlington Community Center,6
5051,5/24/2016,Brookline Community Center,105
5052,5/24/2016,Jefferson Community Center,16
5053,5/24/2016,Magee Community Center,45
5054,5/24/2016,Warrington Community Center,31
5055,5/24/2016,West Penn Community Center,97
5056,5/23/2016,Phillips Community Center,84
5057,5/23/2016,Ormsby Community Center,64
5058,5/23/2016,Paulson Community Center,11
5059,5/23/2016,Brookline Community Center,99
5060,5/23/2016,Arlington Community Center,22
5061,5/23/2016,Ammon Community Center,139
5062,5/23/2016,Magee Community Center,60
5063,5/23/2016,Jefferson Community Center,11
5064,5/23/2016,West Penn Community Center,73
5065,5/23/2016,Warrington Community Center,31
5066,5/21/2016,Ormsby Community Center,2
5067,5/21/2016,Phillips Community Center,20
5068,5/21/2016,Brookline Community Center,57
5069,5/21/2016,Magee Community Center,47
5070,5/21/2016,West Penn Community Center,17
5071,5/20/2016,Phillips Community Center,78
5072,5/20/2016,Ormsby Community Center,52
5073,5/20/2016,Paulson Community Center,11
5074,5/20/2016,Brookline Community Center,71
5075,5/20/2016,Ammon Community Center,22
5076,5/20/2016,Arlington Community Center,4
5077,5/20/2016,Magee Community Center,25
5078,5/20/2016,West Penn Community Center,40
5079,5/20/2016,Warrington Community Center,10
5080,5/19/2016,Paulson Community Center,10
5081,5/19/2016,Ormsby Community Center,84
5082,5/19/2016,Phillips Community Center,104
5083,5/19/2016,Ammon Community Center,67
5084,5/19/2016,Brookline Community Center,123
5085,5/19/2016,Magee Community Center,44
5086,5/19/2016,Jefferson Community Center,37
5087,5/19/2016,Warrington Community Center,25
5088,5/19/2016,West Penn Community Center,139
5089,5/18/2016,Phillips Community Center,110
5090,5/18/2016,Ormsby Community Center,60
5091,5/18/2016,Paulson Community Center,31
5092,5/18/2016,Brookline Community Center,85
5093,5/18/2016,Ammon Community Center,116
5094,5/18/2016,Arlington Community Center,8
5095,5/18/2016,Magee Community Center,26
5096,5/18/2016,West Penn Community Center,78
5097,5/18/2016,Warrington Community Center,26
5098,5/17/2016,Paulson Community Center,31
5099,5/17/2016,Ormsby Community Center,57
5100,5/17/2016,Phillips Community Center,87
5101,5/17/2016,Arlington Community Center,4
5102,5/17/2016,Ammon Community Center,41
5103,5/17/2016,Brookline Community Center,77
5104,5/17/2016,Magee Community Center,45
5105,5/17/2016,Jefferson Community Center,16
5106,5/17/2016,Warrington Community Center,23
5107,5/17/2016,West Penn Community Center,77
5108,5/16/2016,Phillips Community Center,144
5109,5/16/2016,Ormsby Community Center,59
5110,5/16/2016,Paulson Community Center,32
5111,5/16/2016,Brookline Community Center,149
5112,5/16/2016,Ammon Community Center,174
5113,5/16/2016,Arlington Community Center,2
5114,5/16/2016,Jefferson Community Center,20
5115,5/16/2016,Magee Community Center,67
5116,5/16/2016,West Penn Community Center,99
5117,5/16/2016,Warrington Community Center,42
5118,5/14/2016,Ormsby Community Center,22
5119,5/14/2016,Phillips Community Center,21
5120,5/14/2016,Brookline Community Center,526
5121,5/14/2016,Magee Community Center,14
5122,5/14/2016,West Penn Community Center,31
5123,5/13/2016,Phillips Community Center,94
5124,5/13/2016,Ormsby Community Center,46
5125,5/13/2016,Paulson Community Center,23
5126,5/13/2016,Brookline Community Center,91
5127,5/13/2016,Arlington Community Center,10
5128,5/13/2016,Ammon Community Center,69
5129,5/13/2016,Magee Community Center,31
5130,5/13/2016,Jefferson Community Center,49
5131,5/13/2016,West Penn Community Center,48
5132,5/13/2016,Warrington Community Center,17
5133,5/12/2016,Paulson Community Center,29
5134,5/12/2016,Ormsby Community Center,83
5135,5/12/2016,Phillips Community Center,94
5136,5/12/2016,Ammon Community Center,95
5137,5/12/2016,Arlington Community Center,10
5138,5/12/2016,Brookline Community Center,115
5139,5/12/2016,Jefferson Community Center,8
5140,5/12/2016,Magee Community Center,27
5141,5/12/2016,Warrington Community Center,24
5142,5/12/2016,West Penn Community Center,142
5143,5/11/2016,Phillips Community Center,85
5145,5/11/2016,Paulson Community Center,22
5146,5/11/2016,Brookline Community Center,108
5147,5/11/2016,Arlington Community Center,10
5148,5/11/2016,Ammon Community Center,122
5149,5/11/2016,Magee Community Center,20
5150,5/11/2016,Jefferson Community Center,21
5151,5/11/2016,West Penn Community Center,78
5152,5/11/2016,Warrington Community Center,38
5153,5/10/2016,Paulson Community Center,19
5154,5/10/2016,Ormsby Community Center,54
5155,5/10/2016,Phillips Community Center,93
5156,5/10/2016,Ammon Community Center,167
5157,5/10/2016,Arlington Community Center,14
5158,5/10/2016,Brookline Community Center,112
5159,5/10/2016,Jefferson Community Center,1
5160,5/10/2016,Magee Community Center,88
5161,5/10/2016,Warrington Community Center,34
5162,5/10/2016,West Penn Community Center,102
5163,5/9/2016,Phillips Community Center,101
5164,5/9/2016,Ormsby Community Center,54
5165,5/9/2016,Paulson Community Center,30
5166,5/9/2016,Brookline Community Center,83
5167,5/9/2016,Arlington Community Center,9
5168,5/9/2016,Ammon Community Center,109
5169,5/9/2016,Magee Community Center,48
5170,5/9/2016,Jefferson Community Center,16
5171,5/9/2016,West Penn Community Center,93
5172,5/9/2016,Warrington Community Center,39
5173,5/7/2016,Ormsby Community Center,17
5174,5/7/2016,Phillips Community Center,11
5175,5/7/2016,Brookline Community Center,69
5176,5/7/2016,Magee Community Center,14
5177,5/7/2016,West Penn Community Center,21
5178,5/6/2016,Phillips Community Center,59
5179,5/6/2016,Ormsby Community Center,45
5180,5/6/2016,Paulson Community Center,17
5181,5/6/2016,Brookline Community Center,75
5182,5/6/2016,Ammon Community Center,82
5183,5/6/2016,Arlington Community Center,6
5184,5/6/2016,Magee Community Center,36
5185,5/6/2016,Jefferson Community Center,17
5186,5/6/2016,West Penn Community Center,47
5187,5/6/2016,Warrington Community Center,29
5188,5/5/2016,Paulson Community Center,22
5189,5/5/2016,Ormsby Community Center,78
5190,5/5/2016,Phillips Community Center,82
5191,5/5/2016,Arlington Community Center,25
5192,5/5/2016,Ammon Community Center,118
5193,5/5/2016,Brookline Community Center,114
5194,5/5/2016,Jefferson Community Center,2
5195,5/5/2016,Magee Community Center,11
5196,5/5/2016,Warrington Community Center,26
5197,5/5/2016,West Penn Community Center,122
5198,5/4/2016,Phillips Community Center,77
5199,5/4/2016,Ormsby Community Center,45
5200,5/4/2016,Paulson Community Center,19
5201,5/4/2016,Brookline Community Center,108
5202,5/4/2016,Ammon Community Center,165
5203,5/4/2016,Arlington Community Center,14
5204,5/4/2016,Magee Community Center,33
5205,5/4/2016,Jefferson Community Center,17
5206,5/4/2016,West Penn Community Center,89
5207,5/4/2016,Warrington Community Center,39
5208,5/3/2016,Paulson Community Center,35
5209,5/3/2016,Ormsby Community Center,49
5210,5/3/2016,Phillips Community Center,75
5211,5/3/2016,Arlington Community Center,39
5212,5/3/2016,Ammon Community Center,167
5213,5/3/2016,Brookline Community Center,98
5214,5/3/2016,Jefferson Community Center,15
5215,5/3/2016,Magee Community Center,63
5216,5/3/2016,Warrington Community Center,25
5217,5/3/2016,West Penn Community Center,76
5218,5/2/2016,Phillips Community Center,97
5219,5/2/2016,Ormsby Community Center,53
5220,5/2/2016,Paulson Community Center,29
5221,5/2/2016,Brookline Community Center,108
5222,5/2/2016,Ammon Community Center,51
5223,5/2/2016,Arlington Community Center,14
5224,5/2/2016,Magee Community Center,54
5225,5/2/2016,Jefferson Community Center,16
5226,5/2/2016,West Penn Community Center,61
5227,5/2/2016,Warrington Community Center,37
5228,4/30/2016,Ormsby Community Center,11
5229,4/30/2016,Phillips Community Center,23
5230,4/30/2016,Brookline Community Center,54
5231,4/30/2016,Magee Community Center,25
5232,4/30/2016,West Penn Community Center,23
5233,4/29/2016,Phillips Community Center,46
5234,4/29/2016,Ormsby Community Center,42
5235,4/29/2016,Paulson Community Center,23
5236,4/29/2016,Brookline Community Center,64
5237,4/29/2016,Arlington Community Center,50
5238,4/29/2016,Ammon Community Center,41
5239,4/29/2016,Magee Community Center,52
5240,4/29/2016,Jefferson Community Center,50
5241,4/29/2016,West Penn Community Center,45
5242,4/29/2016,Warrington Community Center,28
5243,4/28/2016,Paulson Community Center,19
5244,4/28/2016,Phillips Community Center,78
5245,4/28/2016,Ammon Community Center,147
5246,4/28/2016,Arlington Community Center,66
5247,4/28/2016,Brookline Community Center,138
5248,4/28/2016,Jefferson Community Center,44
5249,4/28/2016,Magee Community Center,34
5250,4/28/2016,Ormsby Community Center,71
5251,4/28/2016,Warrington Community Center,14
5252,4/28/2016,West Penn Community Center,110
5253,4/27/2016,West Penn Community Center,1
5254,4/26/2016,Phillips Community Center,99
5255,4/26/2016,Brookline Community Center,10
5256,4/26/2016,Arlington Community Center,1
5257,4/26/2016,Ammon Community Center,53
5258,4/26/2016,Ormsby Community Center,55
5259,4/26/2016,Magee Community Center,37
5260,4/26/2016,Jefferson Community Center,38
5261,4/26/2016,West Penn Community Center,79
5262,4/25/2016,Phillips Community Center,113
5263,4/25/2016,Paulson Community Center,33
5264,4/25/2016,Ammon Community Center,168
5265,4/25/2016,Arlington Community Center,26
5266,4/25/2016,Brookline Community Center,76
5267,4/25/2016,Jefferson Community Center,43
5268,4/25/2016,Magee Community Center,36
5269,4/25/2016,Ormsby Community Center,56
5270,4/25/2016,West Penn Community Center,82
5271,4/25/2016,Warrington Community Center,25
5272,4/24/2016,Magee Community Center,1
5273,4/23/2016,Phillips Community Center,23
5274,4/23/2016,Brookline Community Center,52
5275,4/23/2016,Magee Community Center,34
5276,4/23/2016,Ormsby Community Center,17
5277,4/23/2016,West Penn Community Center,29
5278,4/22/2016,Phillips Community Center,87
5279,4/22/2016,Paulson Community Center,30
5280,4/22/2016,Brookline Community Center,55
5281,4/22/2016,Arlington Community Center,31
5282,4/22/2016,Ammon Community Center,125
5283,4/22/2016,Ormsby Community Center,38
5284,4/22/2016,Magee Community Center,47
5285,4/22/2016,Jefferson Community Center,11
5286,4/22/2016,West Penn Community Center,53
5287,4/22/2016,Warrington Community Center,21
5288,4/21/2016,Paulson Community Center,18
5289,4/21/2016,Phillips Community Center,97
5290,4/21/2016,Ammon Community Center,83
5291,4/21/2016,Arlington Community Center,25
5292,4/21/2016,Brookline Community Center,165
5293,4/21/2016,Jefferson Community Center,46
5294,4/21/2016,Magee Community Center,14
5295,4/21/2016,Ormsby Community Center,65
5296,4/21/2016,Warrington Community Center,18
5297,4/21/2016,West Penn Community Center,104
5298,4/20/2016,Phillips Community Center,90
5299,4/20/2016,Paulson Community Center,23
5300,4/20/2016,Brookline Community Center,98
5301,4/20/2016,Arlington Community Center,42
5302,4/20/2016,Ammon Community Center,66
5303,4/20/2016,Ormsby Community Center,43
5304,4/20/2016,Magee Community Center,39
5305,4/20/2016,Jefferson Community Center,27
5306,4/20/2016,West Penn Community Center,70
5307,4/20/2016,Warrington Community Center,24
5308,4/19/2016,Paulson Community Center,26
5309,4/19/2016,Phillips Community Center,94
5310,4/19/2016,Ammon Community Center,196
5311,4/19/2016,Arlington Community Center,38
5312,4/19/2016,Brookline Community Center,159
5313,4/19/2016,Jefferson Community Center,27
5314,4/19/2016,Magee Community Center,61
5315,4/19/2016,Ormsby Community Center,63
5316,4/19/2016,Warrington Community Center,40
5317,4/19/2016,West Penn Community Center,91
5318,4/18/2016,Phillips Community Center,127
5319,4/18/2016,Paulson Community Center,27
5320,4/18/2016,Brookline Community Center,94
5321,4/18/2016,Arlington Community Center,94
5322,4/18/2016,Ammon Community Center,154
5323,4/18/2016,Ormsby Community Center,42
5324,4/18/2016,Magee Community Center,40
5325,4/18/2016,Jefferson Community Center,43
5326,4/18/2016,West Penn Community Center,72
5327,4/18/2016,Warrington Community Center,21
5328,4/16/2016,Phillips Community Center,26
5329,4/16/2016,Brookline Community Center,60
5330,4/16/2016,Magee Community Center,15
5331,4/16/2016,West Penn Community Center,36
5332,4/15/2016,Phillips Community Center,78
5333,4/15/2016,Paulson Community Center,21
5334,4/15/2016,Brookline Community Center,109
5335,4/15/2016,Ammon Community Center,118
5336,4/15/2016,Arlington Community Center,25
5337,4/15/2016,Magee Community Center,49
5338,4/15/2016,Jefferson Community Center,33
5339,4/15/2016,Ormsby Community Center,46
5340,4/15/2016,West Penn Community Center,38
5341,4/14/2016,Paulson Community Center,26
5342,4/14/2016,Phillips Community Center,103
5343,4/14/2016,Arlington Community Center,47
5344,4/14/2016,Ammon Community Center,173
5345,4/14/2016,Brookline Community Center,128
5346,4/14/2016,Ormsby Community Center,69
5347,4/14/2016,Jefferson Community Center,31
5348,4/14/2016,Magee Community Center,29
5349,4/14/2016,West Penn Community Center,129
5350,4/14/2016,Warrington Community Center,20
5351,4/13/2016,Phillips Community Center,132
5352,4/13/2016,Paulson Community Center,14
5353,4/13/2016,Brookline Community Center,101
5354,4/13/2016,Ammon Community Center,137
5355,4/13/2016,Arlington Community Center,141
5356,4/13/2016,Magee Community Center,34
5357,4/13/2016,Jefferson Community Center,34
5358,4/13/2016,Ormsby Community Center,45
5359,4/13/2016,West Penn Community Center,64
5360,4/12/2016,Paulson Community Center,37
5361,4/12/2016,Phillips Community Center,102
5362,4/12/2016,Arlington Community Center,58
5363,4/12/2016,Ammon Community Center,127
5364,4/12/2016,Brookline Community Center,143
5365,4/12/2016,Ormsby Community Center,60
5366,4/12/2016,Jefferson Community Center,24
5367,4/12/2016,Magee Community Center,49
5368,4/12/2016,West Penn Community Center,94
5369,4/11/2016,Phillips Community Center,127
5370,4/11/2016,Paulson Community Center,29
5371,4/11/2016,Brookline Community Center,108
5372,4/11/2016,Ammon Community Center,194
5373,4/11/2016,Arlington Community Center,53
5374,4/11/2016,Magee Community Center,59
5375,4/11/2016,Jefferson Community Center,30
5376,4/11/2016,Ormsby Community Center,64
5377,4/11/2016,West Penn Community Center,102
5378,4/11/2016,Warrington Community Center,42
5379,4/9/2016,Phillips Community Center,47
5380,4/9/2016,Brookline Community Center,40
5381,4/9/2016,Ormsby Community Center,21
5382,4/9/2016,Magee Community Center,31
5383,4/9/2016,West Penn Community Center,32
5384,4/8/2016,Phillips Community Center,95
5385,4/8/2016,Paulson Community Center,21
5386,4/8/2016,Brookline Community Center,107
5387,4/8/2016,Arlington Community Center,20
5388,4/8/2016,Ammon Community Center,87
5389,4/8/2016,Magee Community Center,53
5390,4/8/2016,Jefferson Community Center,22
5391,4/8/2016,Ormsby Community Center,37
5392,4/8/2016,West Penn Community Center,50
5393,4/8/2016,Warrington Community Center,30
5394,4/7/2016,Paulson Community Center,47
5395,4/7/2016,Phillips Community Center,86
5396,4/7/2016,Ammon Community Center,149
5397,4/7/2016,Arlington Community Center,49
5398,4/7/2016,Brookline Community Center,153
5399,4/7/2016,Ormsby Community Center,71
5400,4/7/2016,Jefferson Community Center,30
5401,4/7/2016,Magee Community Center,38
5402,4/7/2016,Warrington Community Center,27
5403,4/7/2016,West Penn Community Center,141
5404,4/6/2016,Phillips Community Center,93
5405,4/6/2016,Paulson Community Center,22
5406,4/6/2016,Brookline Community Center,144
5407,4/6/2016,Arlington Community Center,14
5408,4/6/2016,Ammon Community Center,156
5409,4/6/2016,Magee Community Center,19
5410,4/6/2016,Jefferson Community Center,36
5411,4/6/2016,Ormsby Community Center,43
5412,4/6/2016,West Penn Community Center,59
5413,4/6/2016,Warrington Community Center,38
5414,4/5/2016,Paulson Community Center,43
5415,4/5/2016,Phillips Community Center,96
5416,4/5/2016,Ammon Community Center,138
5417,4/5/2016,Arlington Community Center,74
5418,4/5/2016,Brookline Community Center,173
5419,4/5/2016,Ormsby Community Center,49
5420,4/5/2016,Jefferson Community Center,33
5421,4/5/2016,Magee Community Center,50
5422,4/5/2016,Warrington Community Center,31
5423,4/5/2016,West Penn Community Center,66
5424,4/4/2016,Phillips Community Center,111
5425,4/4/2016,Paulson Community Center,31
5426,4/4/2016,Brookline Community Center,97
5427,4/4/2016,Arlington Community Center,15
5428,4/4/2016,Ammon Community Center,127
5429,4/4/2016,Magee Community Center,39
5430,4/4/2016,Jefferson Community Center,29
5431,4/4/2016,Ormsby Community Center,52
5432,4/4/2016,West Penn Community Center,72
5433,4/4/2016,Warrington Community Center,31
5434,4/2/2016,Phillips Community Center,32
5435,4/2/2016,Brookline Community Center,50
5436,4/2/2016,Ormsby Community Center,16
5437,4/2/2016,Magee Community Center,28
5438,4/2/2016,West Penn Community Center,32
5439,4/1/2016,Phillips Community Center,60
5440,4/1/2016,Paulson Community Center,7
5441,4/1/2016,Brookline Community Center,91
5442,4/1/2016,Ammon Community Center,52
5443,4/1/2016,Arlington Community Center,19
5444,4/1/2016,Magee Community Center,48
5445,4/1/2016,Jefferson Community Center,25
5446,4/1/2016,Ormsby Community Center,37
5447,4/1/2016,West Penn Community Center,37
5448,3/31/2016,Phillips Community Center,93
5449,3/31/2016,Arlington Community Center,23
5450,3/31/2016,Ammon Community Center,167
5451,3/31/2016,Brookline Community Center,92
5452,3/31/2016,Ormsby Community Center,49
5453,3/31/2016,Jefferson Community Center,21
5454,3/31/2016,Magee Community Center,51
5455,3/31/2016,West Penn Community Center,123
5456,3/30/2016,Phillips Community Center,42
5457,3/30/2016,Paulson Community Center,27
5458,3/30/2016,Brookline Community Center,80
5459,3/30/2016,Ammon Community Center,175
5460,3/30/2016,Arlington Community Center,15
5461,3/30/2016,Magee Community Center,40
5462,3/30/2016,Jefferson Community Center,29
5463,3/30/2016,Ormsby Community Center,47
5464,3/30/2016,West Penn Community Center,130
5465,3/29/2016,Paulson Community Center,8
5466,3/29/2016,Phillips Community Center,80
5467,3/29/2016,Arlington Community Center,55
5468,3/29/2016,Ammon Community Center,257
5469,3/29/2016,Brookline Community Center,107
5470,3/29/2016,Ormsby Community Center,52
5471,3/29/2016,Jefferson Community Center,43
5472,3/29/2016,Magee Community Center,67
5473,3/29/2016,West Penn Community Center,74
5474,3/29/2016,Warrington Community Center,2
5475,3/28/2016,Phillips Community Center,128
5476,3/28/2016,Paulson Community Center,6
5477,3/28/2016,Brookline Community Center,120
5478,3/28/2016,Arlington Community Center,27
5479,3/28/2016,Magee Community Center,46
5480,3/28/2016,Jefferson Community Center,33
5481,3/28/2016,Ormsby Community Center,59
5482,3/28/2016,Warrington Community Center,26
5483,3/28/2016,West Penn Community Center,54
5484,3/24/2016,Paulson Community Center,24
5485,3/24/2016,Phillips Community Center,80
5486,3/24/2016,Arlington Community Center,28
5487,3/24/2016,Ammon Community Center,76
5488,3/24/2016,Brookline Community Center,98
5489,3/24/2016,Ormsby Community Center,44
